Facility_Name,Facility_Type,ISCED020,ISCED1,ISCED2,ISCED3,Full_Addr,City,Prov_Terr,Postal_Code,CSDNAME,Longitude,Latitude
École secondaire l'Alliance,Public,0,0,1,1,296 Cambridge avenue Iroquois Falls Ontario P0K1E0,Iroquois Falls,ON,P0K1E0,Iroquois Falls,-80.682,48.7689
École secondaire publique Echo du Nord,Public,0,0,1,1,2 Montgomery avenue Kapuskasing Ontario P5N0A4,Kapuskasing,ON,P5N0A4,Kapuskasing,-82.4345,49.42065
École secondaire publique Nipissing Ouest,Public,0,0,1,1,175 Ethel rue Sturgeon Falls Ontario P2B2Z8,Sturgeon Falls,ON,P2B2Z8,West Nipissing / Nipissing Ouest,-79.9203,46.37393
École secondaire publique Odyssée,Public,0,0,1,1,480 Norman ave North Bay Ontario P1B0A8,North Bay,ON,P1B0A8,North Bay,-79.4352,46.32885
École secondaire publique de la région de Parry Sound,Public,0,0,1,1,1 College Promenade Parry Sound Ontario P2A0A9,Parry Sound,ON,P2A0A9,Parry Sound,-80.03864,45.361753
École élémentaire publique Odyssée,Public,0,0,1,0,480 Norman ave North Bay Ontario P1B0A8,North Bay,ON,P1B0A8,North Bay,-79.4353,46.32886
École élémentaire publique Passeport Jeunesse,Public,1,1,1,0,75 9e rue Hearst Ontario P0L1N0,Hearst,ON,P0L1N0,Hearst,-83.6658,49.6839
École élémentaire publique aux Quatre-Vents,Public,1,1,1,0,70 Joseph rue Parry Sound Ontario P2A2G5,Parry Sound,ON,P2A2G5,Parry Sound,-80.034,45.34469
École élémentaire publique des Navigateurs,Public,1,1,1,0,39 Hessle ave New Liskeard Ontario P0J1P0,New Liskeard,ON,P0J1P0,Temiskaming Shores,-79.6735,47.51564
École Saint-Raymond,Catholic,1,1,0,0,22 Borge avenue North Bay Ontario P1A2S7,North Bay,ON,P1A2S7,North Bay,-79.443,46.28821
École secondaire catholique Algonquin,Catholic,0,0,1,1,555 Algonquin avenue North Bay Ontario P1B4W8,North Bay,ON,P1B4W8,North Bay,-79.4664,46.31815
École secondaire catholique Algonquin,Catholic,0,0,1,0,555 Algonquin Av North Bay Ontario P1B4W8,North Bay,ON,P1B4W8,North Bay,-79.4662,46.31807
École secondaire catholique Franco-Cité,Catholic,0,0,1,1,90 Main rue Sturgeon Falls Ontario P2B2Z7,Sturgeon Falls,ON,P2B2Z7,West Nipissing / Nipissing Ouest,-79.9282,46.37252
École secondaire catholique Élisabeth-Bruyère,Catholic,0,0,1,1,359 Brydges rue Mattawa Ontario P0H1V0,Mattawa,ON,P0H1V0,Mattawa,-78.7119,46.318600000000004
École séparée Christ-Roi,Catholic,1,1,1,0,7 Forget avenue River Valley Ontario P0H2C0,River Valley,ON,P0H2C0,West Nipissing / Nipissing Ouest,-80.184,46.59173
École séparée La Résurrection,Catholic,1,1,1,0,136 Third rue Sturgeon Falls Ontario P2B3C6,Sturgeon Falls,ON,P2B3C6,West Nipissing / Nipissing Ouest,-79.9236,46.36026
École séparée Lorrain,Catholic,1,1,1,0,245 Yonge rue Bonfield Ontario P0H1E0,Bonfield,ON,P0H1E0,Bonfield,-79.1459,46.23632
École séparée Mariale,Catholic,1,1,1,0,1000 Birch rue Thorne Ontario P0H2J0,Thorne,ON,P0H2J0,"Nipissing, Unorganized, North Part",-79.1039,46.70041
École séparée Saint-Thomas-D'Aquin,Catholic,1,1,1,0,1245 Village chemin Astorville Ontario P0H1B0,Astorville,ON,P0H1B0,East Ferris,-79.2784,46.18594
École séparée Saint-Vincent,Catholic,1,1,0,0,124 King Est rue North Bay Ontario P1B1P2,North Bay,ON,P1B1P2,North Bay,-79.4549,46.31272
École séparée Sainte-Anne,Catholic,1,1,1,0,361 Brydges rue Mattawa Ontario P0H1V0,Mattawa,ON,P0H1V0,Mattawa,-78.7119,46.318600000000004
École séparée Ste-Marguerite-d'Youville,Catholic,1,1,1,0,73 Principale Est rue Verner Ontario P0H2M0,Verner,ON,P0H2M0,West Nipissing / Nipissing Ouest,-80.1184,46.4102
École élémentaire catholique Saint-Joseph,Catholic,1,1,1,0,93 Michaud rue Sturgeon Falls Ontario P2B1B9,Sturgeon Falls,ON,P2B1B9,West Nipissing / Nipissing Ouest,-79.9213,46.37352
École élémentaire catholique Saints-Anges,Catholic,1,1,0,0,681-B Chippewa Ouest rue North Bay Ontario P1B6G8,North Bay,ON,P1B6G8,North Bay,-79.4518,46.3261
École intermédiaire catholique - Pavillon Alexandria,Catholic,0,0,1,0,100 McNab rue Alexandria Ontario K0C1A0,Alexandria,ON,K0C1A0,North Glengarry,-74.6365,45.31608
École intermédiaire catholique - Pavillon Casselman,Catholic,0,0,1,0,778 Brébeuf rue Casselman Ontario K0A1M0,Casselman,ON,K0A1M0,Casselman,-75.088,45.31615
École intermédiaire catholique - Pavillon Embrun,Catholic,0,0,1,0,1276 St-Jacques rue Embrun Ontario K0A1W0,Embrun,ON,K0A1W0,Russell,-75.2752,45.27118
École intermédiaire catholique - Pavillon Hawkesbury,Catholic,0,0,1,0,572 Kitchener Hawkesbury Ontario K6A2P6,Hawkesbury,ON,K6A2P6,Hawkesbury,-74.6252,45.60615
École intermédiaire catholique - Pavillon Plantagenet,Catholic,0,0,1,0,6150 de comté 17 chemin Plantagenet Ontario K0B1L0,Plantagenet,ON,K0B1L0,Alfred and Plantagenet,-74.9992,45.54734
École intermédiaire catholique - Pavillon Rockland,Catholic,0,0,1,0,1535 du Parc avenue Rockland Ontario K4K1K6,Rockland,ON,K4K1K6,Clarence-Rockland,-75.2863,45.54897
École intermédiaire catholique La Citadelle,Catholic,0,0,1,0,510 McConnell avenue Cornwall Ontario K6H4M1,Cornwall,ON,K6H4M1,Cornwall,-74.7145,45.02508
École secondaire catholique Embrun,Catholic,0,0,1,1,1276 St-Jacques rue Embrun Ontario K0A1W0,Embrun,ON,K0A1W0,Russell,-75.2747,45.2718
École secondaire catholique L'Escale,Catholic,0,0,1,1,1535 du Parc avenue Rockland Ontario K4K1K6,Rockland,ON,K4K1K6,Clarence-Rockland,-75.2865,45.54985
École secondaire catholique La Citadelle,Catholic,0,0,1,1,510 McConnell avenue Cornwall Ontario K6H4M1,Cornwall,ON,K6H4M1,Cornwall,-74.7132,45.02339
École secondaire catholique Le Relais,Catholic,0,0,1,1,100 McNabb rue Alexandria Ontario K0C1A0,Alexandria,ON,K0C1A0,North Glengarry,-74.6348,45.3161
École secondaire catholique de Plantagenet,Catholic,0,0,1,1,6150 de comté 17 chemin Plantagenet Ontario K0B1L0,Plantagenet,ON,K0B1L0,Alfred and Plantagenet,-74.997,45.54564
École secondaire catholique régionale de Hawkesbury,Catholic,0,0,1,1,572 Kitchener rue Hawkesbury Ontario K6A2P3,Hawkesbury,ON,K6A2P3,Hawkesbury,-74.6252,45.60621
École élémentaire catholique Curé-Labrosse,Catholic,1,1,0,0,5050 Fatima rue St-Eugène Ontario K0B1P0,St-Eugène,ON,K0B1P0,East Hawkesbury,-74.471,45.49969
École élémentaire catholique Du Rosaire,Catholic,1,1,0,0,2410 du Lac chemin St-Pascal-Baylon Ontario K0A3N0,St-Pascal-Baylon,ON,K0A3N0,Clarence-Rockland,-75.1558,45.49387
École élémentaire catholique Embrun - Pav. Saint-Jean/Pav. La Croisée,Catholic,1,1,0,0,1045 Notre-Dame rue Embrun Ontario K0A1W0,Embrun,ON,K0A1W0,Russell,-75.2725,45.27658
École élémentaire catholique La Source,Catholic,1,1,0,0,17095 McLean chemin 1 Moose Creek Ontario K0C1W0,Moose Creek,ON,K0C1W0,North Stormont,-74.9651,45.26802
École élémentaire catholique Marie-Tanguay,Catholic,1,1,0,0,1500 Holy Cross boulevard Cornwall Ontario K6H2X1,Cornwall,ON,K6H2X1,Cornwall,-74.6966,45.03619
École élémentaire catholique Notre-Dame,Catholic,1,1,0,0,420 15e Ouest rue Cornwall Ontario K6J3K5,Cornwall,ON,K6J3K5,Cornwall,-74.7513,45.03414
École élémentaire catholique Notre-Dame-du-Rosaire,Catholic,1,1,0,0,9 Ouest concession Crysler Ontario K0A1R0,Crysler,ON,K0A1R0,North Stormont,-75.152,45.21575
École élémentaire catholique Paul VI,Catholic,1,1,0,0,500 Principale Est rue Hawkesbury Ontario K6A1A9,Hawkesbury,ON,K6A1A9,Hawkesbury,-74.6028,45.60937
École élémentaire catholique Sacré-Coeur,Catholic,1,1,0,0,2233 Dollard rue Bourget Ontario K0A1E0,Bourget,ON,K0A1E0,Clarence-Rockland,-75.1578,45.43703
École élémentaire catholique Saint-Albert,Catholic,1,1,0,0,116 Principale rue St-Albert Ontario K0A3C0,St-Albert,ON,K0A3C0,The Nation / La Nation,-75.1236,45.25407
École élémentaire catholique Saint-Grégoire,Catholic,1,1,0,0,50 Home rue Vankleek Hill Ontario K0B1R0,Vankleek Hill,ON,K0B1R0,Champlain,-74.6489,45.52153
École élémentaire catholique Saint-Isidore,Catholic,1,1,0,0,20 de l'École rue St-Isidore Ontario K0C2B0,St-Isidore,ON,K0C2B0,The Nation / La Nation,-74.906,45.38432
École élémentaire catholique Saint-Jean-Baptiste,Catholic,1,1,0,0,35 Longueuil rue L'Orignal Ontario K0B1K0,L'Orignal,ON,K0B1K0,Champlain,-74.692,45.61745
École élémentaire catholique Saint-Joseph (Russell),Catholic,1,1,0,0,1008 Russell Nord chemin Russell Ontario K4R1C8,Russell,ON,K4R1C8,Russell,-75.3636,45.2655
École élémentaire catholique Saint-Joseph (Wendover),Catholic,1,1,0,0,3250 Principale rue Wendover Ontario K0A3K0,Wendover,ON,K0A3K0,Alfred and Plantagenet,-75.1303,45.57206
École élémentaire catholique Saint-Mathieu,Catholic,1,1,0,0,3155 Gendron chemin Hammond Ontario K0A2A0,Hammond,ON,K0A2A0,Clarence-Rockland,-75.2387,45.44007
École élémentaire catholique Saint-Paul,Catholic,1,1,0,0,260 Main rue Plantagenet Ontario K0B1L0,Plantagenet,ON,K0B1L0,Alfred and Plantagenet,-74.9966,45.53395
École élémentaire catholique Saint-Viateur,Catholic,1,1,0,0,205 Limoges chemin Limoges Ontario K0A2M0,Limoges,ON,K0A2M0,The Nation / La Nation,-75.2632,45.35018
École élémentaire catholique Saint-Victor,Catholic,1,1,0,0,38 Saint-Paul rue Alfred Ontario K0B1A0,Alfred,ON,K0B1A0,Alfred and Plantagenet,-74.8803,45.55761
École élémentaire catholique Sainte-Félicité,Catholic,1,1,0,0,1647 Landry rue Clarence Creek Ontario K0A1N0,Clarence Creek,ON,K0A1N0,Clarence-Rockland,-75.2186,45.50916
École élémentaire catholique Sainte-Lucie,Catholic,1,1,0,0,17 337 Dow rue 1 Long Sault Ontario K0C1P0,Long Sault,ON,K0C1P0,South Stormont,-74.7906,45.09181
École élémentaire catholique Sainte-Trinité,Catholic,1,1,0,0,879 St-Joseph rue Rockland Ontario K4K1C2,Rockland,ON,K4K1C2,Clarence-Rockland,-75.287,45.54776
École élémentaire catholique de Casselman - Pav. St-Paul/Ste-Euphémie,Catholic,1,1,0,0,215 Laurier rue Casselman Ontario K0A1M0,Casselman,ON,K0A1M0,Casselman,-75.0828,45.31706
École élémentaire catholique de l'Ange-Gardien,Catholic,1,1,0,0,4831 Second Line chemin North Lancaster Ontario K0C1Z0,North Lancaster,ON,K0C1Z0,South Glengarry,-74.5013,45.24766
Notre-Dame-des-Écoles,Catholic,1,1,1,0,215 Quebec rue Nakina Ontario P0T2H0,Nakina,ON,P0T2H0,Greenstone,-86.709,50.18022
École Immaculée-Conception,Catholic,1,1,1,0,119 Lily Pad Lake chemin Ignace Ontario P0T1T0,Ignace,ON,P0T1T0,Ignace,-91.6604,49.40547
École Notre-Dame-de-Fatima,Catholic,1,1,1,0,113 Indian chemin Longlac Ontario P0T2A0,Longlac,ON,P0T2A0,Greenstone,-86.5324,49.77944
École St-Joseph,Catholic,1,1,1,0,308 4e rue nord Geraldton Ontario P0T1M0,Geraldton,ON,P0T1M0,Greenstone,-86.9453,49.72841
École catholique Franco-Supérieur,Catholic,1,1,0,0,220 Elgin rue Thunder Bay Ontario P7A0A4,Thunder Bay,ON,P7A0A4,Thunder Bay,-89.2147,48.44072
École catholique Franco-Terrace,Catholic,1,1,1,0,17 Cartier rue Terrace Bay Ontario P0T2W0,Terrace Bay,ON,P0T2W0,Terrace Bay,-87.1046,48.78124
École catholique Val-des-Bois,Catholic,1,1,1,0,23 Penn Lake chemin Marathon Ontario P0T2E0,Marathon,ON,P0T2E0,Marathon,-86.3708,48.72265
École catholique de La Vérendrye,Catholic,0,0,1,0,175 High Nord rue Thunder Bay Ontario P7A8C7,Thunder Bay,ON,P7A8C7,Thunder Bay,-89.229,48.444
École catholique de l'Enfant-Jésus,Catholic,1,1,1,0,161 Airport chemin 4 Dryden Ontario P8N0A2,Dryden,ON,P8N0A2,Dryden,-92.7565,49.78851
École catholique des Étoiles-du-Nord,Catholic,1,1,1,0,54 Discovery chemin Red Lake Ontario P0V2M0,Red Lake,ON,P0V2M0,Red Lake,-93.8266,51.01629
École secondaire catholique de La Vérendrye,Catholic,0,0,1,1,175 High Nord rue Thunder Bay Ontario P7A8C7,Thunder Bay,ON,P7A8C7,Thunder Bay,-89.2294,48.44435
La Clef,Catholic,0,0,1,1,896 Riverside promenade Timmins Ontario P4N3W2,Timmins,ON,P4N3W2,Timmins,-81.3619,48.47693
École catholique André-Cary,Catholic,1,1,1,0,39 Murdock rue Kapuskasing Ontario P5N1H9,Kapuskasing,ON,P5N1H9,Kapuskasing,-82.4283,49.42146
École catholique Anicet-Morin,Catholic,0,1,1,0,1070 Power avenue Timmins Ontario P4R1B4,Timmins,ON,P4R1B4,Timmins,-81.3693,48.47678
École catholique Assomption (Earlton),Catholic,1,1,1,0,24 9e avenue Earlton Ontario P0J1E0,Earlton,ON,P0J1E0,Armstrong,-79.827,47.71193
École catholique Assomption (Kirkland Lake),Catholic,1,1,0,0,31 Churchill promenade Kirkland Lake Ontario P2N1T8,Kirkland Lake,ON,P2N1T8,Kirkland Lake,-80.0278,48.14827
École catholique Cité des Jeunes,Catholic,0,0,1,0,10 Cite Des Jeunes Boulevard Kapuskasing Ontario P5N2K2,Kapuskasing,ON,P5N2K2,Kapuskasing,-82.4076,49.4176
École catholique Don-Bosco,Catholic,1,1,0,0,400 Lonergan boulevard Timmins Ontario P4P1C7,Timmins,ON,P4P1C7,Timmins,-81.3472,48.49922
École catholique Jacques-Cartier (Kapuskasing),Catholic,1,1,0,0,8 Brunelle Sud chemin Kapuskasing Ontario P5N2T2,Kapuskasing,ON,P5N2T2,Kapuskasing,-82.4025,49.40793
École catholique Jacques-Cartier (Timmins),Catholic,1,1,0,0,377 Maple Nord rue Timmins Ontario P4N6C4,Timmins,ON,P4N6C4,Timmins,-81.3339,48.48384
École catholique Louis-Rhéaume,Catholic,1,1,0,0,600 Pine Nord rue Timmins Ontario P4N6M3,Timmins,ON,P4N6M3,Timmins,-81.3279,48.48858
École catholique Notre-Dame (Foleyet),Catholic,1,1,1,0,70 2e avenue Foleyet Ontario P0M1T0,Foleyet,ON,P0M1T0,"Sudbury, Unorganized, North Part",-82.4376,48.24229
École catholique Notre-Dame-du-Rosaire (Gogama),Catholic,1,1,1,0,51 Harris rue Gogama Ontario P0M1W0,Gogama,ON,P0M1W0,"Sudbury, Unorganized, North Part",-81.7251,47.67464
École catholique Pavillon Notre-Dame,Catholic,1,1,0,0,48 9e rue Hearst Ontario P0L1N0,Hearst,ON,P0L1N0,Hearst,-83.6671,49.68565
École catholique Sacré-Coeur (Timmins),Catholic,0,1,1,0,560 Dieppe rue Timmins Ontario P4N7N4,Timmins,ON,P4N7N4,Timmins,-81.3418,48.48736
École catholique Saint-Michel,Catholic,1,1,1,0,998075 11 Nord route New Liskeard Ontario P0J1P0,New Liskeard,ON,P0J1P0,Temiskaming Shores,-79.6736,47.54344
École catholique Sainte-Croix,Catholic,1,1,1,0,304 Rorke avenue Haileybury Ontario P0J1K0,Haileybury,ON,P0J1K0,Temiskaming Shores,-79.6383,47.44457
École catholique Sainte-Thérèse,Catholic,1,1,1,0,332 Timmins ave Ramore Ontario P0K1R0,Ramore,ON,P0K1R0,Black River-Matheson,-80.3254,48.43114
École catholique St-Dominique,Catholic,1,1,0,0,855 Park avenue Timmins Ontario P4N4C5,Timmins,ON,P4N4C5,Timmins,-81.3621,48.47896
École catholique St-François-Xavier,Catholic,1,1,1,0,189 Balmoral avenue Mattice Ontario P0L1T0,Mattice,ON,P0L1T0,Mattice-Val Côté,-83.262,49.60988
École catholique St-Gérard,Catholic,1,1,0,0,59 Sterling Est avenue Timmins Ontario P4N1R7,Timmins,ON,P4N1R7,Timmins,-81.3328,48.46382
École catholique St-Jude,Catholic,1,1,0,0,255 Dixon rue Porcupine Ontario P0N1C0,Porcupine,ON,P0N1C0,Timmins,-81.1587,48.49301
École catholique St-Jules,Catholic,1,1,1,0,55 St-Aubin avenue Moonbeam Ontario P0L1V0,Moonbeam,ON,P0L1V0,Moonbeam,-82.1532,49.34428
École catholique St-Louis (Hearst),Catholic,0,1,1,0,1007 Edward rue Hearst Ontario P0L1N0,Hearst,ON,P0L1N0,Hearst,-83.6681,49.68592
École catholique St-Louis (Virginiatown),Catholic,1,1,0,0,2 Kerr Mine chemin Virginiatown Ontario P0K1X0,Virginiatown,ON,P0K1X0,McGarry,-79.5887,48.13427
École catholique Ste-Anne,Catholic,1,1,0,0,619 Allan rue Hearst Ontario P0L1N0,Hearst,ON,P0L1N0,Hearst,-83.6562,49.69194
École catholique Sts-Martyrs-Canadiens,Catholic,1,1,1,0,425 Teefy rue Iroquois Falls Ontario P0K1G0,Iroquois Falls,ON,P0K1G0,Iroquois Falls,-80.6899,48.75517
École catholique l Envolée du Nord,Catholic,0,0,1,0,54 Duncan Sud avenue Kirkland Lake Ontario P2N1Y1,Kirkland Lake,ON,P2N1Y1,Kirkland Lake,-80.0306,48.14874
École secondaire catholique Cité des Jeunes,Catholic,0,0,1,1,10 Cité des Jeunes boulevard Kapuskasing Ontario P5N2K2,Kapuskasing,ON,P5N2K2,Kapuskasing,-82.4073,49.41665
École secondaire catholique Georges-Vanier,Catholic,0,0,1,1,120 Ross chemin Smooth Rock Falls Ontario P0L2B0,Smooth Rock Falls,ON,P0L2B0,Smooth Rock Falls,-81.6223,49.27929
École secondaire catholique Hearst,Catholic,0,0,1,1,30 10e rue Hearst Ontario P0L1N0,Hearst,ON,P0L1N0,Hearst,-83.6662,49.68406
École secondaire catholique L'Alliance,Catholic,0,0,1,1,44 Anson promenade Iroquois Falls Ontario P0K1E0,Iroquois Falls,ON,P0K1E0,Iroquois Falls,-80.6833,48.76882
École secondaire catholique Sainte-Marie,Catholic,0,0,1,1,340 Hessle avenue New Liskeard Ontario P0J1P0,New Liskeard,ON,P0J1P0,Temiskaming Shores,-79.6603,47.51641
École secondaire catholique Theriault,Catholic,0,0,1,1,341 Thériault boulevard Timmins Ontario P4N7K3,Timmins,ON,P4N7K3,Timmins,-81.3489,48.48255
École secondaire catholique l Envolée du Nord,Catholic,0,0,1,1,54 Duncan Sud avenue Kirkland Lake Ontario P2N1Y1,Kirkland Lake,ON,P2N1Y1,Kirkland Lake,-80.0307,48.1488
École intermédiaire catholique Académie catholique Ange-Gabriel,Catholic,0,0,1,0,1515 Kensington prom. Brockville Ontario K6V6H9,Brockville,ON,K6V6H9,Brockville,-75.7181,44.6115
École intermédiaire catholique Béatrice-Desloges,Catholic,0,0,1,0,1999 Provence av. Orléans Ontario K4A3Y6,Orléans,ON,K4A3Y6,Ottawa,-75.4594,45.4686
École intermédiaire catholique Franco-Cité,Catholic,0,0,1,0,623 Smyth chemin Ottawa Ontario K1G1N7,Ottawa,ON,K1G1N7,Ottawa,-75.642,45.4005
École intermédiaire catholique Franco-Ouest,Catholic,0,0,1,0,411 Seyton prom. Nepean Ontario K2H8X1,Nepean,ON,K2H8X1,Ottawa,-75.8327,45.31553
École intermédiaire catholique Garneau,Catholic,0,0,1,0,6588 Carrière Rue Orleans Ontario K1C1J4,Orleans,ON,K1C1J4,Ottawa,-75.525,45.4654
École intermédiaire catholique Jeanne-Lajoie,Catholic,0,0,1,0,1257 Pembroke rue Pembroke Ontario K8A5R3,Pembroke,ON,K8A5R3,Pembroke,-77.1503,45.83532
École intermédiaire catholique Marie-Rivier,Catholic,0,0,1,0,711 Dalton Ave Kingston Ontario K7M8N6,Kingston,ON,K7M8N6,Kingston,-76.5232,44.27005
École intermédiaire catholique Mer Bleue,Catholic,0,0,1,0,6401 Renaud Rd Orléans Ontario K1W0H8,Orléans,ON,K1W0H8,Ottawa,-75.5028,45.43591
École intermédiaire catholique Paul-Desmarais,Catholic,0,0,1,0,5315 Abbott rue Ottawa Ontario K2S0X3,Ottawa,ON,K2S0X3,Ottawa,-75.8969,45.27385
École intermédiaire catholique Pierre-Savard,Catholic,0,0,1,0,1110 Longfields prom. Ottawa Ontario K2J0H9,Ottawa,ON,K2J0H9,Ottawa,-75.7375,45.27313
École intermédiaire catholique Samuel-Genest,Catholic,0,0,1,0,704 Carson chemin Ottawa Ontario K1K2H3,Ottawa,ON,K1K2H3,Ottawa,-75.6288,45.44244
École secondaire catholique Béatrice-Desloges,Catholic,0,0,1,1,1999 Provence av. Orléans Ontario K4A3Y6,Orléans,ON,K4A3Y6,Ottawa,-75.4595,45.4687
École secondaire catholique Collège catholique Franco-Ouest,Catholic,0,0,1,1,411 Seyton prom. Nepean Ontario K2H8X1,Nepean,ON,K2H8X1,Ottawa,-75.8327,45.31553
École secondaire catholique Collège catholique Samuel-Genest,Catholic,0,0,1,1,704 Carson's chemin Ottawa Ontario K1K2H3,Ottawa,ON,K1K2H3,Ottawa,-75.6292,45.44095
École secondaire catholique Franco-Cité,Catholic,0,0,1,1,"623, Smyth chemin Ottawa Ontario K1G1N7",Ottawa,ON,K1G1N7,Ottawa,-75.6416,45.40036
École secondaire catholique Garneau,Catholic,0,0,1,1,6588 Carrière rue Orléans Ontario K1C1J4,Orléans,ON,K1C1J4,Ottawa,-75.5248,45.46508
École secondaire catholique Marie-Rivier,Catholic,0,0,1,1,711 Dalton av. Kingston Ontario K7M8N6,Kingston,ON,K7M8N6,Kingston,-76.5232,44.27005
École secondaire catholique Mer Bleue,Catholic,0,0,1,1,6401 Renaud Rd Orléans Ontario K1W0H8,Orléans,ON,K1W0H8,Ottawa,-75.5028,45.43591
École secondaire catholique Notre-Dame,Catholic,0,0,1,1,11 Beattie Lane Kemptville Ontario K0G1J0,Kemptville,ON,K0G1J0,North Grenville,-75.6387,45.00714
École secondaire catholique Paul-Desmarais,Catholic,0,0,1,1,5315 Abbott Ottawa Ontario K2S0X3,Ottawa,ON,K2S0X3,Ottawa,-75.8962,45.27413
École secondaire catholique Pierre-Savard,Catholic,0,0,1,1,1110 Longfields prom. Nepean Ontario K2J0H9,Nepean,ON,K2J0H9,Ottawa,-75.7375,45.27313
École élémentaire Académie catholique Ange-Gabriel,Catholic,1,1,0,0,1515 Kensington prom. Brockville Ontario K6V6H9,Brockville,ON,K6V6H9,Brockville,-75.718,44.61215
École élémentaire catholique Alain-Fortin,Catholic,1,1,0,0,676 Lakeridge prom. Orléans Ontario K4A0J8,Orléans,ON,K4A0J8,Ottawa,-75.4743,45.44742
École élémentaire catholique Arc-en-ciel,Catholic,1,1,0,0,1830 Portobello boul. Orléans Ontario K4A3T6,Orléans,ON,K4A3T6,Ottawa,-75.4704,45.47205
École élémentaire catholique Au Coeur d'Ottawa,Catholic,1,1,0,0,88 Main Street Ottawa Ontario K1S1C2,Ottawa,ON,K1S1C2,Ottawa,-75.6796,45.41164
École élémentaire catholique Bernard-Grandmaître,Catholic,1,1,0,0,4170 Spratt chemin Ottawa Ontario K1V0Z5,Ottawa,ON,K1V0Z5,Ottawa,-75.6821,45.28494
École élémentaire catholique De la Découverte,Catholic,1,1,0,0,866 Scala av. Cumberland Ontario K4A4T6,Cumberland,ON,K4A4T6,Ottawa,-75.4672,45.46363
École élémentaire catholique Des Pins,Catholic,1,1,0,0,1487 Ridgebrook prom. Gloucester Ontario K1B4K6,Gloucester,ON,K1B4K6,Ottawa,-75.6053,45.42192
École élémentaire catholique Des Pionniers,Catholic,1,1,0,0,720 Merkley prom. Orléans Ontario K4A1L8,Orléans,ON,K4A1L8,Ottawa,-75.4813,45.47393
École élémentaire catholique Des Voyageurs,Catholic,1,1,0,0,6030 Voyageur prom. Orléans Ontario K1C2T1,Orléans,ON,K1C2T1,Ottawa,-75.5522,45.47372
École élémentaire catholique Elisabeth-Bruyère,Catholic,1,1,0,0,100 Stonehaven prom. Kanata Ontario K2M2H4,Kanata,ON,K2M2H4,Ottawa,-75.8467,45.28647
École élémentaire catholique George-Étienne-Cartier,Catholic,1,1,0,0,880 Thorndale prom. Ottawa Ontario K1V6Y3,Ottawa,ON,K1V6Y3,Ottawa,-75.6721,45.36354
École élémentaire catholique Horizon-Jeunesse,Catholic,1,1,0,0,349 Olmstead rue Vanier Ontario K1L1B1,Vanier,ON,K1L1B1,Ottawa,-75.6601,45.43245
École élémentaire catholique J.-L.-Couroux,Catholic,1,1,1,0,10 Findlay av. Carleton Place Ontario K7C4K1,Carleton Place,ON,K7C4K1,Carleton Place,-76.1288,45.1294
École élémentaire catholique Jean-Robert-Gauthier,Catholic,1,1,0,0,651 Chapman Mills prom. Ottawa Ontario K2J0W7,Ottawa,ON,K2J0W7,Ottawa,-75.7323,45.27008
École élémentaire catholique Jeanne-Lajoie,Catholic,1,1,0,0,1255 Pembroke Ouest Rue Pembroke Ontario K8A5R3,Pembroke,ON,K8A5R3,Pembroke,-77.1507,45.83531
École élémentaire catholique L'Envol,Catholic,1,1,1,0,45 Johnson prom. Trenton Ontario K8V6V7,Trenton,ON,K8V6V7,Quinte West,-77.5524,44.1099
École élémentaire catholique L'Étoile-de-l'Est,Catholic,1,1,0,0,6220 Beauséjour prom. Orléans Ontario K1C8E4,Orléans,ON,K1C8E4,Ottawa,-75.5319,45.45754
École élémentaire catholique La Vérendrye,Catholic,1,1,0,0,614 Eastvale prom. Gloucester Ontario K1J6Z6,Gloucester,ON,K1J6Z6,Ottawa,-75.5976,45.46041
École élémentaire catholique Laurier-Carrière,Catholic,1,1,0,0,14 Four Seasons prom. Nepean Ontario K2E7P8,Nepean,ON,K2E7P8,Ottawa,-75.7125,45.35244
École élémentaire catholique Marius-Barbeau,Catholic,1,1,1,0,1345 Nottinghill av. Ottawa Ontario K1V6T3,Ottawa,ON,K1V6T3,Ottawa,-75.6566,45.37166
École élémentaire catholique Mgr-Rémi-Gaulin,Catholic,1,1,0,0,51 Virginia rue Kingston Ontario K7K5Y3,Kingston,ON,K7K5Y3,Kingston,-76.4863,44.26959
École élémentaire catholique Montfort,Catholic,1,1,0,0,350 Den Haag rue Ottawa Ontario K1K0W9,Ottawa,ON,K1K0W9,Ottawa,-75.6336,45.44163
École élémentaire catholique Notre-Dame,Catholic,1,1,1,0,50 Campus Drive Kemptville Ontario K0G1J0,Kemptville,ON,K0G1J0,North Grenville,-75.6387,45.00714
École élémentaire catholique Notre-Dame-des-Champs,Catholic,1,1,0,0,6280 Renaud Ch Ottawa Ontario K4B1H9,Ottawa,ON,K4B1H9,Ottawa,-75.5095,45.43287
École élémentaire catholique Notre-Place,Catholic,1,1,0,0,665 Des Aubepines Drive Orleans Ontario K4A0Z3,Orleans,ON,K4A0Z3,Ottawa,-75.4844,45.44741
École élémentaire catholique Pierre-Elliott-Trudeau,Catholic,1,1,0,0,601 Longfields prom. Nepean Ontario K2J4X1,Nepean,ON,K2J4X1,Ottawa,-75.7445,45.2853
École élémentaire catholique Reine-des-Bois,Catholic,1,1,0,0,1450 Duford rue Orléans Ontario K1E1E6,Orléans,ON,K1E1E6,Ottawa,-75.5096,45.47197
